consensus_id,标题,关联条款编号,适用场景,解释内容,判定结果,扣分分值,关键词,示例问题,来源文件,更新时间,状态,备注
CS-0082,保温桶储存方式有误,37,储存与离地问题,保温桶如图盖盖，闷盖虚盖都不扣分。虚盖提醒门店更换成透气网，闷盖提醒盖紧,否,0,保温桶储存方式有误|保温桶如图盖盖|闷盖虚盖都不扣分|虚盖提醒门店更换成透气网|闷盖提醒盖紧,保温桶储存方式有误,稽核共识.xlsx,2025-09-30 09:24:13,启用,
CS-0083,门店之间转移物料使用一次性包材装,37,其他特殊判定,门店一次性包材用于物料转移，如向A门店借茶汤，用注塑杯装，提醒,否,0,如向A门店借茶汤|用注塑杯装|提醒,门店之间转移物料使用一次性包材装,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0084,使用公司的打包袋存放工器具,37,其他特殊判定,使用食品包装（pp袋）/非食品包装（打包袋）存放工器具不扣分,否,0,,使用公司的打包袋存放工器具,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0085,低峰期平冷凹槽内物料未盖份数盘盖子,37,储存与离地问题,平冷上方凹槽处冷藏物料未盖盖不扣分（仅针对份数盘内的物料，牛奶等不包括） 若有特殊物料要求的以 最新出品表和古茗学院为准 桃果茸 ：今年已与研发确认，在平冷凹槽内 无需 强制盖盖，无需扣储存方式；若在冰箱内部，按照要求需要盖盖； 若桃果茸明显褐变超出标准（标准请看古茗学院） 若现场没看到对应饮品操作：扣鲜果操作--稽核点--备注 若现场看到对应饮品操作：扣调饮操作--饮品--桃果茸明显褐变超出标准,否,0,牛奶等不包括|若有特殊物料要求的以|最新出品表和古茗学院为准|桃果茸|今年已与研发确认|在平冷凹槽内,低峰期平冷凹槽内物料未盖份数盘盖子,稽核共识.xlsx,2025-06-18 14:41:32,启用,
CS-0087,过期的下架物料放在仓库内且未贴禁用标识,42,物料效期问题,过期的下架物料放在仓库内且未贴禁用标识，扣过期,按场景判定,,扣过期,过期的下架物料放在仓库内且未贴禁用标识,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0088,巡检发现公司物料过期/无效期，门店反馈是个人食用的,42,物料效期问题,若未张贴禁用标识，仅扣过期/无效期,按场景判定,,门店反馈是个人食用的|若未张贴禁用标识|仅扣过期/无效期,巡检发现公司物料过期/无效期，门店反馈是个人食用的,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0089,物料无效期,39,物料效期问题,物料无效期，现场与门店确认，现场无法找到或在垃圾桶内找到，属于效期缺失；仓储区/仓库内发现原物料（如干橙片）无效期，也按物料无效期处理；麻薯、淡奶油、奇亚籽、生椰乳等原物料/半成品出现无效期或过期，且并非私人物品或个人食用场景时，优先按物料无效期处理,按场景判定,,物料无效期|现场与门店确认|属于效期缺失|仓储区发现原物料无效期|仓库内发现干橙片无效期|仓储区发现一包干橙片无效期|麻薯无效期|安佳淡奶油无效期|奇亚籽原料无效期|垃圾桶旁边发现过期生椰乳,物料无效期|仓储区发现干橙片无效期|麻薯无效期|安佳淡奶油无效期|奇亚籽原料无效期|垃圾桶旁边发现过期生椰乳,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0090,因效期机突然坏了，物料无效期,39,物料效期问题,因效期机突然坏了，物料无效期，正常扣,按场景判定,,因效期机突然坏了|物料无效期|正常扣,因效期机突然坏了，物料无效期,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0091,容器内存在不同状态的同种物料，仅张贴了一张效期,39,外购与非认可物料/器具,"""容器内存在不同状态的同种物料，仅张贴了一张效期 例如：份数盘内有清洗状态和去蒂状态的草莓 ，仅张贴清洗效期 ，属于去蒂效期缺失 ，若仅张贴去蒂效期，效期过期扣过期，没过期提醒",按场景判定,,仅张贴了一张效期|仅张贴清洗效期|属于去蒂效期缺失|若仅张贴去蒂效期|效期过期扣过期|没过期提醒,容器内存在不同状态的同种物料，仅张贴了一张效期,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0092,物料张贴了同一品名的两张风味贴,42,物料效期问题,物料张贴了同一品名的两张风味贴，其中一张过期，另一张未过期，属于风味贴错误（需要张贴两张风味贴的解冻品除外） 例如：【珍珠】张贴了两张风味贴，其中一张风味贴过期，另一张珍珠风味贴未过期，属于效期错误，若张贴了同一品名的两张风味贴，两张都未过期，提醒，撕掉错误风味贴 PS: 以上均为风味贴在了同一位置，如两张风味贴均贴在了份数盘上或效期卡上；若一张贴在份数盘上，一张贴在效期卡上，以份数盘的风味贴为准(份数盘上的过期，效期卡上的未过期，扣效期错误，反之则提醒) 物料张贴了不同品名的两张风味贴，其中一张过期，另一张未过期，按照物料对应的风味贴扣分，并提醒撕掉错误风味贴,按场景判定,,其中一张过期|另一张未过期|其中一张风味贴过期|另一张珍珠风味贴未过期|属于效期错误|两张都未过期,物料张贴了同一品名的两张风味贴,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0094,手写风味贴记录有误,39,物料效期问题,手写风味贴，物料品名错误/缺失、物料制作时间及到期时间错误/缺失，属于 风味贴错误 同时确认稽核前是否有报修 1. 若无，所有手写风味贴按照 不同批次 及 不同产品 名叠加扣 2. 若有，需查看稽核拍照时是否存在已过期的手写风味贴， 有过期风味贴正常记录扣分 ，若没有过期风味贴，鉴于效期机临时损坏且有报修意识和记录风味贴的意识，仅本次可提醒，同时须在报告中写明规范的手写风味贴的内容,按场景判定,,手写风味贴记录有误|手写风味贴|物料品名错误/缺失|属于|风味贴错误|同时确认稽核前是否有报修,手写风味贴记录有误,稽核共识.xlsx,2024-11-16 00:12:05,启用,
CS-0095,开封需张贴开封效期的解冻品，张贴了解冻效期,39,物料效期问题,开封需张贴开封效期的解冻品，张贴了解冻效期，扣效期错误,按场景判定,,张贴了解冻效期|扣效期错误,开封需张贴开封效期的解冻品，张贴了解冻效期,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0097,效期机因打印纸偏离导致产品名称未显示在效期贴上,39,物料效期问题,效期机因打印纸偏离导致产品名称未显示在效期贴上，若能通过效期打印记录核实，不扣分,否,0,若能通过效期打印记录核实|不扣分,效期机因打印纸偏离导致产品名称未显示在效期贴上,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0098,门店将物料存放在最小单位量器具内或提前将物料称量好，未张贴效期且未按标准储存,39,储存与离地问题,"""门店将物料存放在最小单位量器具内或提前将物料称量好，未张贴效期且未按标准储存，提醒不扣。 例1：门店接取一小量杯的茶汤，未张贴效期，不扣 例2：门店提前将煮糖水的白糖称量好，未张贴效期，提醒门店尽快使用，不扣分""",否,0,未张贴效期且未按标准储存|提醒不扣|未张贴效期|不扣|提醒门店尽快使用|不扣分,门店将物料存放在最小单位量器具内或提前将物料称量好，未张贴效期且未按标准储存,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0099,直接平冷解冻的解冻品，效期未张贴至瓶身,39,储存与离地问题,直接平冷解冻的解冻品，且还在解冻时间内，已打印效期放在解冻品旁，未张贴至瓶身，不扣分 （但解冻品效期需遵循一一对应原则，若冷藏柜内存在直接平冷解冻的同一物料，不同批次，效期未张贴在对应物料上，扣一次效期错误） （详情可见图例，两个批次的草莓果泥，效期没有张贴在袋身上，扣一次效期错误）,否,0,直接平冷解冻的解冻品|效期未张贴至瓶身|且还在解冻时间内|已打印效期放在解冻品旁|未张贴至瓶身|不扣分,直接平冷解冻的解冻品，效期未张贴至瓶身,稽核共识.xlsx,2025-12-19 15:11:54,启用,
CS-0100,门店将效期卡用于其他区域,39,物料效期问题,门店将效期卡用于其他区域，且效期卡的效期能和物料一一对应，提醒不扣分（对外一律宣导效期卡仅可使用于平冷凹槽）,否,0,门店将效期卡用于其他区域,门店将效期卡用于其他区域,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0102,效期错误共识变更,39,外购与非认可物料/器具,物料实际状态与张贴的风味贴【产品名称】不符，无论风味贴是否过期，均按【效期错误】进行记录 ，除以下两种风味贴未过期的特殊情况可不扣分提醒 ①物料张贴下一状态风味贴 情形1. 鲜果及冷冻品 ，判断是否下一状态具体参考门店效期机该物料状态是否挂靠在 鲜果 及 冷冻品 内） 情形2. 新增提醒 【 后厨原料 茶类 张贴后厨产出 茶汤 风味贴 】 （仅针对茶类） 提醒：未去皮西瓜张贴西瓜块风味贴，葡萄汁解冻张贴葡萄汁（倒出未密封）风味贴 ， 茉莉花茶茶叶 张贴 茉莉花茶茶汤 风味贴 扣分：奶盖浆张贴奶盖效期须正常扣【效期错误】，原因：奶盖风味贴为【后厨产出】，与奶盖浆非挂靠在同一级【冷冻品】下 ②物料有两种效期，且张贴的效期比实际储存状态应张贴的效期短（如冷藏的特调糖张贴常温效期） ③物料张贴非当前状态风味贴，但风味贴中物料种类且储存时长相同，仅盛装的容器不同 PS: 有一个特殊情况须注意 当解冻品张贴【解冻效期】敞口存放，若解冻效期未过期，扣效期错误，若解冻效期过期，扣过期（原因：解冻品的解冻效期为第一效期，解冻过期即为该物料过期）椰子水咖啡液等需要开封打开封效期的物料类似（如解冻效期过期未张贴开封效期，扣过期）,否,0,效期错误共识变更|无论风味贴是否过期|均按【效期错误】进行记录|①物料张贴下一状态风味贴|情形1|鲜果及冷冻品,效期错误共识变更,稽核共识.xlsx,2024-11-26 11:58:00,启用,
CS-0103,小青橘去蒂打清洗效期,39,物料效期问题,小青橘去蒂打清洗效期不扣分（仓库到门店就会出现去蒂的现象），非自然脱落的需打切开效期,否,0,小青橘去蒂打清洗效期|非自然脱落的需打切开效期,小青橘去蒂打清洗效期,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0104,私人物品区出现过期物料,42,物料效期问题,私人物品区出现过期物料，不扣分,否,0,私人物品区出现过期物料|不扣分,私人物品区出现过期物料,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0105,洗手液开封效期缺失/过期,43,物料效期问题,洗手消毒液仅原包装过期扣分,按场景判定,,洗手液开封效期缺失/过期,洗手液开封效期缺失/过期,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0108,关于解冻品解冻相关稽核共识,42,其他特殊判定,1.门店 水浴池漏水 导致未没过解冻品或布丁等，提醒不扣 2.解冻品 水浴未没过液面，需证明解冻品不是漂浮状态 ，若漂浮状态则提醒不扣 3.解冻品 水浴超时且完全化冻 ，扣分（ 若门店发现后废弃，不扣分 ）；解冻品 水浴超时但未完全化冻 ，不扣分,否,0,1.门店|水浴池漏水|导致未没过解冻品或布丁等|提醒不扣|2.解冻品|水浴未没过液面,关于解冻品解冻相关稽核共识,稽核共识.xlsx,2025-08-04 11:01:56,启用,
CS-0109,门头灯未开启,27,其他特殊判定,街边店古茗招牌灯仅16：00-打烊未开启扣分，商场商超店：开业时间-闭店离开时间未开启,按场景判定,,门头灯未开启,门头灯未开启,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0114,调饮设备维护相关共识,55,虫害与消杀问题,1.关于摇摇机扣分尺度： 摇摇机误差+1秒， 老款超出误差，扣分 ； 新款设置正确，实际超出误差，提醒 ； 2.关于封口机扣分尺度： 封口机 【 加热盘】积垢不扣分 （图1）； 3.关于储冰槽扣分尺度： 冰槽滑轨 仅擦拭出金属粉末， 提醒清洁 ； 4. 关于 灭蝇灯 扣分尺度： a.灭蝇灯使用飞利浦灯管（新款灯管），但使用的是 3个月 的维护时间贴， 提醒不扣分 ； b.稽核巡检发现灭蝇纸在效期内，但虫尸超二分之一，若 有7天内的打卡记录，不扣分 ; 5.关于设备综合扣分尺度： a. 设备破损但可正常运转，提醒； b. 设备效期过期，过期日和巡检日是同一天，不扣分； c.报公司设备维保的门店，设备保养后若在保养期限内， 涉及到的所有问题（如发霉、维养时间贴、积垢等）仅记录不扣分 ，具体【设备】名单参考图表(图2），具体参保门店参考巡店计划内该门店是否有【月度维养】标签或月度维保名单；,否,0,调饮设备维护相关共识|1.关于摇摇机扣分尺度|摇摇机误差+1秒|老款超出误差|扣分|新款设置正确,调饮设备维护相关共识,稽核共识.xlsx,2025-06-20 18:30:35,启用,
CS-0126,化学品相关稽核共识,56,化学品问题,1. 此款咖啡机药片 （图1），由于仓库发货时已经临期导致门店无法使用完，巡店时若 发现过期 ，提醒不扣分，让门店报损+报货新的即可； 2.查看/进入任何独立空间 ，例如门店抽屉、用门帘遮挡的空间、阁楼、有门的房间等 均需要 询问门店是否可以查看 ，得到明确的答复后方可查看，门店反馈不可查看为私人区域时，不用查看记录在报告提醒项即可；如果 空间内无任何营运相关物料 （设备、器具、原物料等），只有废弃的设备和化学品、木质品等，有门/门帘等作 阻隔且日常是关闭状态 ，提醒不扣分； 3.打包袋装化学品： 化学品有包装或独立包装 ，不扣分； 4. 指定除胶剂出现在营运区 （私人物品区除外），扣化学品定位； 5、消毒、去渍溶液用于非器具消毒的，不扣分,否,0,化学品相关稽核共识|此款咖啡机药片|图1|巡店时若|发现过期|提醒不扣分,化学品相关稽核共识,稽核共识.xlsx,2025-08-04 11:17:50,启用,
CS-0127,门店下架重点饮品和新品,19,其他特殊判定,重点饮品和新品下架稽核手法，判断是否门店主观不售卖（重点品不能下架、新品两周不能下架） ①有下架饮品所涉及的物料，出于主观原因（销量低报损高等原因）故意不售卖，正常扣分 ②对应仓有货，故意不售卖而不报货，正常扣分 由于特殊情况下架不扣分，如① 第一天断货下架，第二天来货了忘记上架 ② 断货下架后，当天来货未及时上架 ③ 人力原因，无时间制备新料，临时下架 ④门店打烊前2小时下架部分产品（打烊时间以小程序显示为准）,按场景判定,,门店下架重点饮品和新品|新品两周不能下架|①有下架饮品所涉及的物料|正常扣分|②对应仓有货|故意不售卖而不报货,门店下架重点饮品和新品,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0128,拼好饭未配保温袋,21,储存与离地问题,拼好饭未配保温袋：查看门店订单，如果有保温袋费用，门店不给要扣分，如果没有就不扣,按场景判定,,拼好饭未配保温袋|如果有保温袋费用|门店不给要扣分|如果没有就不扣,拼好饭未配保温袋,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0130,现场巡检时发现发现门店调饮操作错误,59,证照/记录/人员规范,1. 首先询问认知是否有问题 2. 如果是认知正确，操作错误，有监控或者其他证据证明是操作错误的，扣分；如果证明不了，不扣分 3. 如果认知错误且操作错误，扣分 【ps：①操作错误指可以通过监控/巡店记录仪回溯问题点，若角度受限无法证明不扣分②若门店反馈为顾客特殊要求的，可提供证明不扣也不加分（例如订单备注，顾客电话等）】,否,0,首先询问认知是否有问题|如果是认知正确|操作错误|扣分|如果证明不了|不扣分,现场巡检时发现发现门店调饮操作错误,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0131,发现门店使用的糖浆压头非标准压头,59,其他特殊判定,若门店糖浆压头非标准压头，需现场测试1次，合格提醒更换；测试1次不合格，再测2次，有一次合格提醒更换，3次都不合格，扣分,按场景判定,,若门店糖浆压头非标准压头|需现场测试1次|合格提醒更换|测试1次不合格|再测2次|有一次合格提醒更换,发现门店使用的糖浆压头非标准压头,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0132,巡检时发现勺类错误,59,其他特殊判定,巡检发现勺类错误，无加分机会,按场景判定,,巡检时发现勺类错误|巡检发现勺类错误|无加分机会,巡检时发现勺类错误,稽核共识.xlsx,2025-08-05 17:45:01,启用,
CS-0133,水果超量/不足量,59,其他特殊判定,"一、 水果超过误差提醒不扣分 （例如莓莓鲜橙茶的去蒂草莓要求100g，误差为＋5g，若实际称量为106g，提醒不扣分，但是调饮操作不加分） 二、 水果的量仅少1g提醒不扣分 （例如草莓鲜橙茶的去蒂草莓要求100g,若实际称量为99g，提醒不扣分，同样调饮不加分）",否,0,水果超量/不足量|水果超过误差提醒不扣分|误差为＋5g|若实际称量为106g|提醒不扣分|但是调饮操作不加分,水果超量/不足量,稽核共识.xlsx,2025-12-29 09:52:43,启用,
CS-0135,门店勾勺使用不正确,59,其他特殊判定,勺子可以从小变大，但是不能大变小，最终看CC总量即可（百香果20CC*3，可以直接用60CC*1 但是桃汁60CC*1不可以30CC*2）,按场景判定,,门店勾勺使用不正确|勺子可以从小变大|但是不能大变小|可以直接用60CC*1,门店勾勺使用不正确,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0136,清洁工具维护相关稽核共识,36,交叉污染问题,1.垃圾桶扣分尺度 ① 未套垃圾袋，若桶无渗漏现象 不扣 ②公司款合页垃圾桶，仅 未盖盖或完全开盖 ，扣分 ③箱子或桶内 空瓶盖紧，无剪口瓶子 (如剪口使用的厚乳、咖奶等）不扣 ④表面残留垃圾， 营运过程中产生的不扣 ，若扣分需判断门店 垃圾桶打卡 ，若有打卡不扣 ⑤桶内无湿垃圾， 专扔小票纸、标签纸等干垃圾 可无盖，接触后可不洗手 ⑥出现在 吧台正下方内嵌空间 的，出现机会点不扣提醒 2.针对【营运过程中门店将空牛奶瓶等类似物料， 临时放置 在小钢桌/货架等非明显垃圾收纳区域，准备后续统一处理】的情形，提醒不扣 3.清洁工具与食品接触器具存放在一起 a. 清洁食品接触面的工具 与食品接触器具放一起，提醒不扣 例：刷漏盆刷子与滤布均挂在后厨操作台挂钩上（无论两个器具是否接触），提醒不扣 b. 清洁非食品接触面的工具 与食品接触器具放在一起，若两个器具未接触，扣清洁工具定位1分，接触扣交叉污染5分 例：刷台面/地面/除霜等刷子与滤布均挂在后厨操作台挂钩上，若两个器具未接触，扣清洁工具定位1分，接触则扣交叉污染5分 4.地刮等清洁工具定位 /倚靠在 立式冷藏柜 (不含平冷柜，原因：平冷柜含操作台面）、 冷冻柜及制冰机侧面 不扣,是,多档:1|5,清洁工具维护相关稽核共识|1.垃圾桶扣分尺度|未套垃圾袋|若桶无渗漏现象|不扣|②公司款合页垃圾桶,清洁工具维护相关稽核共识,稽核共识.xlsx,2025-06-23 18:10:53,启用,
CS-0141,证件管理相关共识,308,证照/记录/人员规范,1.关于 食品经营许可证、营业执照共识 a.实际门店 有证，未公示 在外， 扣1分整改项 b.无食品经营许可证，分总同意记录可改 c.巡检前已出证，未领取，24h内提供，不扣分 d.食品经营许可证到期需要放存疑，分总同意改提醒项记录 2.关于健康证共识：现场发现店员无健康证，但门店反馈已办理 a. 告知门店需巡检后的 24小时内回传; b. 需在报告中写明 ：现场未发现***健康证，但门店反馈已经出证，需门店24小时内回传证明。 c. 如 24小时内未回传即不可修改 （周末及法定节假日顺延）; d.门店申诉时须要求提供 健康证正反面证件的【视频】 或 查询电子健康证的【视频】 ，避免门店P图无法识别真伪; 3.关于店内伙伴未满16周岁共识 店内伙伴＜16岁， 非雇佣关系的 ，不算雇佣童工， 提醒不扣分;,按场景判定,1,证件管理相关共识|1.关于|食品经营许可证|营业执照共识|a.实际门店|有证,证件管理相关共识,稽核共识.xlsx,2025-08-04 11:52:30,启用,
CS-0143,新款pc份数盘盖,None,其他特殊判定,新款pc份数盘盖门店在低峰期这个状态，盖子也是连接处也是掉了一截，提醒不扣分,否,0,新款pc份数盘盖|提醒不扣分,新款pc份数盘盖,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0145,布丁等冰浴物料扣分要求,None,储存与离地问题,布丁冰浴时，没有冰且冰水液面未高于份数盘液面，需要查看布丁是否凝固 1. 已凝固的，仅扣储存（冰块已经完全化完） 2. 未凝固的，仅扣操作（冰水液面未高于份数盘内布丁液面） 同理：①仙草/清凉冻 ②布丁冰浴时，冰水液面未高于份数盘液面但已凝固也不扣分,否,0,布丁等冰浴物料扣分要求|布丁冰浴时|需要查看布丁是否凝固|已凝固的|未凝固的|同理：①仙草/清凉冻,布丁等冰浴物料扣分要求,稽核共识.xlsx,2024-10-17 20:20:40,启用,
CS-0146,陈列物料扣分尺度,29,物料效期问题,1. 涉及到活动画面（海报内有时间）均给48h的容错时间 2. 留胶3处大小的判定标准：一个指甲盖 3. 门店布置的企划氛围类陈列，不作为【粘贴涂抹】的整改项。类似心声墙、我在xx很想你、墙面或者吧台装饰物，但若触发了别的整改项如使用了易撕贴等，正常进行整改项判定 4. 门店由于特殊原因（城管不要外面悬挂）使用透明胶布在玻璃内部张贴横幅且出现如图所示的可见胶布也不算做门店【粘贴涂抹】整改项，类似的由于特殊原因参考上述案例 5、针对【招聘海报】手写、打印门店稽核变更如下： 一.【手写】记录扣分要求不变 二.【打印】要求变更如下：①若门店使用【白色底色作为纯色背景色，如白底黑字、白底红字等】如下图，正常进行记录扣分②若门店使用【非白色底色作为纯色背景色，如红底黑字、蓝底红字等】不需要记录、不要求门店整改 6、关于【陈列物料/画面出现其它品牌logo】整改点，涉及到如装饰材料等与陈列无关的设施出现其他品牌的logo，暂不做监管 7、若当地【政府相关部门】关于部分陈列有特别要求的，出现了不符合公司现有陈列要求的情形，也不作为稽核项（不扣分也不需要门店整改），例如市场管理局指定要求门店在【发光形象墙面】上张贴【食品安全公示牌】，这类政府相关部门的特别要求，不作为稽核项，在报告提醒项内备注原因即可，政府公示牌允许悬挂在发光形象墙 8、ip联名物料（如天官赐福、莲花楼等），涉及可售卖或赠送的ip周边物料（如贴纸等）、包材耗材（如杯套、打包袋等）仅不作为过期下架进行扣分，若触发了别的稽核点或整改点正常记录，如粘贴涂抹等；不可售卖或赠送的ip联名物料，例如a4海报、拉布灯箱等过期正常进行记录 9、其他门店的菜单，放在古茗店里进行合作引流不作为【其他logo】扣分项，若涉及到手写/自制或张贴涂抹等其他机会点正常扣分记录。如隔壁炸鸡店，将菜单放在古茗店内 10、门店WiFi密码手写不扣陈列打印/手写的自制 11、门店手画氛围物，不做要求，类似这种,按场景判定,,陈列物料扣分尺度|门店布置的企划氛围类陈列|类似心声墙|我在xx很想你|墙面或者吧台装饰物|正常进行整改项判定,陈列物料扣分尺度,稽核共识.xlsx,2024-10-17 20:20:40,启用,
