op_id,资料类型,标题,适用对象,关键词,操作内容,检核要点,解释说明,来源文件,备注,状态
OP-0017,后厨配方,维也纳云顶打制标准,维也纳云顶,维也纳云顶|香草籽糖浆|奶盖浆|淡奶油|小山尖,维也纳云顶需先冰浴淡奶油和奶盖锅 再称香草籽糖浆 奶盖浆和淡奶油 奶盖机6档打制后检查状态 再2档30秒并定时冰浴7分钟；完成状态是抬起打蛋头后可拉出小山尖且不会倒塌。,重点看原料称量 冰浴步骤 奶盖机档位和最终状态是否达到小山尖标准。,适合回答维也纳云顶怎么打 什么状态才算合格。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0018,后厨配方,抹茶液打制标准,抹茶液,抹茶液|抹茶粉|纯净水|沙冰机|过滤,抹茶液需先称纯净水和抹茶粉 抹茶粉倒入沙冰壶后4档打制1次 再过滤至量桶 捞泡后倒入挤压瓶并打风味贴保存。,重点看是否先称水再称粉 是否用沙冰机4档打制 是否过滤和捞泡后再装瓶。,适合回答抹茶液怎么打制 为什么要过滤。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0019,后厨配方,柠檬预混液调制标准,柠檬预混液,柠檬预混液|调制柠檬汁|冰蔗糖浆|冰水|搅拌30秒,柠檬预混液需先称调制柠檬汁和冰蔗糖浆 再称冰水 把柠檬汁和冰水倒入装有冰蔗糖浆的量桶中 定时搅拌30秒以上后打风味贴保存。,重点看柠檬汁 冰蔗糖浆 冰水比例是否按1比2比13执行 是否搅拌满30秒以上。,适合回答柠檬预混液怎么调和比例怎么算。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0020,后厨配方,奇亚籽调制标准,奇亚籽,奇亚籽|热水|冰块|静置5分钟|结块,奇亚籽原料需边倒边搅入热水中 静置5分钟后再称冰块倒入并搅拌至冰块完全融化 最终无明显结块后打风味贴保存。,重点看是否先热水浸泡5分钟 是否按原料比1比15比5加热水和冰块 是否搅拌到无明显结块。,适合回答奇亚籽怎么调制 为什么要先静置再加冰。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0021,后厨配方,树番茄百香鲜榨汁标准,树番茄百香鲜榨汁,树番茄百香鲜榨汁|百香果肉|脱籽浆|调制树番茄浆|过滤,先把百香果肉和纯净水按2比1打制成脱籽浆 再用专用滤布过滤并称重 然后按过滤后的百香果脱籽浆比调制树番茄浆1比2混合 触底搅拌均匀后打风味贴保存。,重点看是否先做脱籽浆再过滤 是否按过滤后克重乘2配树番茄浆 是否使用专用滤布。,适合回答树番茄百香鲜榨汁怎么做和比例怎么算。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,流程拆分入库,启用
OP-0022,出品检查表,后厨通用食安关键项,通用条款|食安关键项,食安关键项|篡改效期|过效期|腐败|发霉|食材,后厨通用食安关键项明确严禁篡改效期 严禁使用过效期 腐败 发霉食材 这类问题属于高优先级检查项。,重点看是否存在效期篡改 是否使用过效期或腐败发霉食材 出现即按食安关键项判定。,适合回答哪些属于后厨食安关键项以及为什么严重。,出品操作检查表20260402.xlsx,检查标准拆分入库,启用
OP-0023,出品检查表,后厨品质关键项-设备与定量器具,标准设备|定量器具|重要步骤,品质关键项|标准设备|奶昔机|沙冰机|摇摇机|蒸汽机|盎司杯|小量杯|重要步骤,后厨品质关键项包括标准设备使用 标准定量器具及数据正确 以及重要步骤错误或缺失；设备和器具不按标准用法执行时需要按品质项检查。,重点看是否使用标准设备 是否按标准量具和数据执行 是否出现重要步骤漏做或做错。,适合回答设备使用错误 量杯勺子数据错误 重要步骤缺失是否属于品质问题。,出品操作检查表20260402.xlsx,检查标准拆分入库,启用
OP-0024,出品检查表,山岚红茶手泡检核点,山岚红茶|茶叶泡制,山岚红茶|手泡|挤压茶包|接取桶无冰|滤布,检查表明确山岚红茶手泡时未用手动打蛋器挤压茶包属于稽核点；泡茶机出汤时接取桶内无冰块会影响茶汤香气；手泡滤布颜色超过标准未更换也属于茶叶泡制问题。,重点看滤布是否超标未换 是否挤压茶包 接取桶内是否有冰块 这些都属于可被检查到的明确检核点。,适合回答山岚红茶为什么要挤压茶包 接茶汤桶为什么要放冰 以及滤布超标是否算问题。,出品操作检查表20260402.xlsx,检查标准拆分入库,启用
OP-0025,调饮配方,古茗奶茶操作标准,古茗奶茶,古茗奶茶|奶露|山岚红茶|小口盖|小吸管|大吸管,古茗奶茶无加料时按山岚红茶和奶露数据制作 冰饮可加冰机摇后直接倒 热饮T1加热并补热水或冰水 去冰需过滤倒后补冰水 温饮需纸杯中加料后补热水至满杯线。,重点看中杯和大杯数据是否区分 无加料是否配小吸管 有加料是否改大吸管 冰热温不同处理是否正确。,适合回答古茗奶茶怎么做 不同温度怎么处理 以及吸管杯盖如何配。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0026,调饮配方,大叔奶茶操作标准,大叔奶茶,大叔奶茶|布丁|珍珠|红豆|奶露|山岚红茶,大叔奶茶按布丁 珍珠 红豆各1份加料 中杯和大杯分别配山岚红茶和奶露 冰饮纸杯先加料后直接倒 热温饮纸杯先加料再按正常操作 少料仅可少1种 换料可在布丁 珍珠 红豆之间替换。,重点看是否三种料各1 纸杯是否先加料 少料和换料范围是否符合标准。,适合回答大叔奶茶加料规则 少料换料 以及冰热操作。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0027,调饮配方,布蕾脆脆奶芙操作标准,布蕾脆脆奶芙,布蕾脆脆奶芙|珍珠|奶油|维也纳云顶|坚果碎|布蕾,冰饮先完成茶汤后挑搅并补冰至冰线 温饮用中纸杯并按T2处理 后续顶部可二选一做奶芙版本或维也纳云顶版本；有加料时冰饮需PET杯先加料并确保杯中至少3块冰。,重点看顶部版本是否做对 温饮是否用中纸杯 冰饮有加料时是否先加料并保证至少3块冰。,适合回答布蕾脆脆奶芙奶芙版和维也纳版怎么做 以及加料时怎么处理。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0028,调饮配方,百香双重奏操作标准,百香双重奏,百香双重奏|百香果浆|青橘|珍珠|椰果|手捣,百香双重奏中杯与大杯都需加珍珠 椰果 百香果浆和青橘 冰饮先摇再直接倒并挑搅 温饮补热水至满杯线；冰饮加料时需先在PET杯或大塑杯加料 量少补冰 量多捞冰 不可捞出固体配料。,重点看青橘数量是否正确 是否先加料后倒茶汤 不可捞出固体配料 少料只可少椰果或珍珠中的1种。,适合回答百香双重奏怎么做 加料后怎么处理以及少料换料规则。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0029,调饮配方,莓莓麻薯操作标准,莓莓麻薯,莓莓麻薯|草莓调酱|米麻薯|芝士乳|茉莉|奶露,莓莓麻薯冰饮用PET杯 热饮用中纸杯 配草莓调酱 米麻薯 芝士乳并按G3茉莉和奶露制作；去冰需挡冰倒后补冰水并搅拌汤体 少冰需多加40mL冰水 加料最多再加1份料。,重点看草莓调酱 米麻薯 芝士乳是否齐全 去冰是否搅拌汤体 额外加料是否不超过1份。,适合回答莓莓麻薯做法 去冰少冰和加料限制。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0030,调饮配方,美式咖啡操作标准,美式咖啡,美式咖啡|精萃浓缩|冰线|防洒盖|热饮不可封口,冰美式需PET杯先加冰水至B线 再加冰到冰线后按美式冰键；热美式用咖啡纸杯按美式热键 热饮不可封口也无需配吸管；可额外加1份咖啡萃取液。,重点看冰热杯型是否正确 热饮是否未封口 是否按键正确 加萃取液是否不超过1份。,适合回答美式咖啡怎么做 热饮为什么不能封口 以及能否加萃取液。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0031,调饮配方,生椰拿铁操作标准,生椰拿铁,生椰拿铁|生椰乳|咖啡机|少冰|热饮,冰生椰拿铁PET杯先用G2将生椰乳加至B线 搅拌后加冰至冰线再按生椰拿铁冰键；热饮用咖啡纸杯接咖啡液同时摇杯蒸汽加热生椰乳并倒入；少冰时生椰乳改加至D线。,重点看生椰乳是否按B线或D线执行 冰饮是否先搅拌再按键 热饮是否同步加热生椰乳。,适合回答生椰拿铁冰热怎么做 少冰怎么处理。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0032,调饮配方,鲜奶拿铁操作标准,鲜奶拿铁,鲜奶拿铁|拿铁|牛奶|少冰|热饮|精萃浓缩,冰鲜奶拿铁需PET杯加冰至冰线后按拿铁冰键 热饮按拿铁热键；无奶箱版热饮需咖啡纸杯接咖啡液同时摇杯牛奶蒸汽加热后倒入；少冰时需先加牛奶后再加冰至指定线位。,重点看奶箱版和无奶箱版热饮流程是否区分 少冰是否改变牛奶与冰量 可以加1份萃取液但不能超量。,适合回答鲜奶拿铁冰热版差异 少冰如何操作 以及是否可加浓。,20260409_调饮配方汇总版简略版_全片区.pdf,第二版单品补充,启用
OP-0033,后厨配方,米麻薯复热标准,米麻薯,米麻薯|复热|12分钟|16分钟|冰浴,米麻薯最少1包最多6包 先量热水煮沸 再关火放速冻米麻薯 闷盖定时复热 1到3包复热12分钟 4到6包16分钟 时间过半需翻面 时间到后5分钟内倒出并冰浴10分钟后按风味贴保存。,重点看包数对应时间是否正确 是否先关火再下料 是否中途翻面 并在5分钟内倒出冰浴。,适合回答米麻薯怎么复热 复热多久 何时翻面和冰浴。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,第二版流程补充,启用
OP-0034,后厨配方,木薯复热标准,木薯,木薯|复热|500g|1000g|冰浴|翻面,木薯单包1000g和500g都有复热标准 都需先量热水煮沸 关火后下速冻木薯闷盖复热 时间过半翻面 时间到后5分钟内倒出并冰浴；不同包数对应的复热时长不同且不可超时。,重点看木薯规格和包数是否识别正确 是否中途翻面 是否在规定时间内倒出并冰浴。,适合回答木薯500g和1000g怎么复热 复热多久以及注意事项。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,第二版流程补充,启用
OP-0035,后厨配方,黑糖珍珠煮制标准,黑糖珍珠,黑糖珍珠|速冻粉圆|黑糖粉|焖煮|保温,黑糖珍珠需先称速冻粉圆和热水煮沸 再闷盖煮制和焖制 中间每2到3分钟至少搅20圈 时间到后加入黑糖粉翻搅至完全溶解 再低火焖煮并中途翻搅 最后10秒内倒入份数盘 打风味贴并保温。,重点看黑糖粉加入时机 中途翻搅次数 是否10秒内出锅 以及保温是否按要求3小时更换。,适合回答黑糖珍珠怎么煮 黑糖粉何时加 以及为什么要保温。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,第二版流程补充,启用
OP-0036,后厨配方,草莓调酱打制标准,草莓调酱,草莓调酱|去蒂草莓|草莓果泥|冰蔗糖浆|沙冰机,草莓调酱需先称去蒂草莓 草莓果泥和冰蔗糖浆 将装草莓的沙冰壶上机1档打制 草莓颗粒刮入装有草莓果泥的份数盘后再加冰蔗糖浆并吧勺搅匀 打风味贴保存。,重点看去蒂草莓和果泥糖浆比例是否为10比10比1 颗粒是否小于1cm乘1cm 打制后是否再搅匀。,适合回答草莓调酱怎么打制 颗粒要多细 以及原料比例。,W_后厨数据配方贴纸_20260409V1_21X29.7cm(7).pdf,第二版流程补充,启用
