faq_id,问题,答案,关联条款编号,关联共识编号,review_id,沉积来源,命中关键词,tags,状态,备注,更新时间
FAQ-0011,若新购盐罐盖子盖不上,盐罐盖子盖不上，门店反馈一个月内新购盐罐，可不扣分,,CS-0081,,迁移自规则表,若新购盐罐盖子盖不上|盐罐盖子盖不上|门店反馈一个月内新购盐罐|可不扣分,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0057；原条款编号=37；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0012,保温桶储存方式有误,保温桶如图盖盖，闷盖虚盖都不扣分。虚盖提醒门店更换成透气网，闷盖提醒盖紧,,CS-0082,,迁移自规则表,保温桶储存方式有误|保温桶如图盖盖|闷盖虚盖都不扣分|虚盖提醒门店更换成透气网|闷盖提醒盖紧,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0058；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0013,门店之间转移物料使用一次性包材装,门店一次性包材用于物料转移，如向A门店借茶汤，用注塑杯装，提醒,,CS-0083,,迁移自规则表,如向A门店借茶汤|用注塑杯装|提醒,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0059；原条款编号=37；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0014,使用公司的打包袋存放工器具,使用食品包装（pp袋）/非食品包装（打包袋）存放工器具不扣分,,CS-0084,,迁移自规则表,,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0060；原条款编号=37；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0015,低峰期平冷凹槽内物料未盖份数盘盖子,平冷上方凹槽处冷藏物料未盖盖不扣分（仅针对份数盘内的物料，牛奶等不包括） 若有特殊物料要求的以 最新出品表和古茗学院为准 桃果茸 ：今年已与研发确认，在平冷凹槽内 无需 强制盖盖，无需扣储存方式；若在冰箱内部，按照要求需要盖盖； 若桃果茸明显褐变超出标准（标准请看古茗学院） 若现场没看到对应饮品操作：扣鲜果操作--稽核点--备注 若现场看到对应饮品操作：扣调饮操作--饮品--桃果茸明显褐变超出标准,,CS-0085,,迁移自规则表,牛奶等不包括|若有特殊物料要求的以|最新出品表和古茗学院为准|桃果茸|今年已与研发确认|在平冷凹槽内,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0061；原条款编号=37；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0016,过期的下架物料放在仓库内且未贴禁用标识,过期的下架物料放在仓库内且未贴禁用标识，扣过期,,CS-0087,,迁移自规则表,扣过期,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0062；原条款编号=42；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0017,巡检发现公司物料过期/无效期，门店反馈是个人食用的,若未张贴禁用标识，仅扣过期/无效期,,CS-0088,,迁移自规则表,门店反馈是个人食用的|若未张贴禁用标识|仅扣过期/无效期,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0063；原条款编号=42；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0018,物料无效期|仓储区发现干橙片无效期|麻薯无效期|安佳淡奶油无效期|奇亚籽原料无效期|垃圾桶旁边发现过期生椰乳,物料无效期，现场与门店确认，现场无法找到或在垃圾桶内找到，属于效期缺失；仓储区/仓库内发现原物料（如干橙片）无效期，也按物料无效期处理；麻薯、淡奶油、奇亚籽、生椰乳等原物料/半成品出现无效期或过期，且并非私人物品或个人食用场景时，优先按物料无效期处理,,CS-0089,,迁移自规则表,物料无效期|现场与门店确认|属于效期缺失|仓储区发现原物料无效期|仓库内发现干橙片无效期|仓储区发现一包干橙片无效期|麻薯无效期|安佳淡奶油无效期|奇亚籽原料无效期|垃圾桶旁边发现过期生椰乳,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0064；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0019,因效期机突然坏了，物料无效期,因效期机突然坏了，物料无效期，正常扣,,CS-0090,,迁移自规则表,因效期机突然坏了|物料无效期|正常扣,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0065；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0020,容器内存在不同状态的同种物料，仅张贴了一张效期,"""容器内存在不同状态的同种物料，仅张贴了一张效期 例如：份数盘内有清洗状态和去蒂状态的草莓 ，仅张贴清洗效期 ，属于去蒂效期缺失 ，若仅张贴去蒂效期，效期过期扣过期，没过期提醒",,CS-0091,,迁移自规则表,仅张贴了一张效期|仅张贴清洗效期|属于去蒂效期缺失|若仅张贴去蒂效期|效期过期扣过期|没过期提醒,consensus-link|migrated-from-rules|category-外购与非认可物料/器具,启用,迁移自规则表 R-0066；原条款编号=39；分类=外购与非认可物料/器具,2026-04-22 11:57:12
FAQ-0021,物料张贴了同一品名的两张风味贴,物料张贴了同一品名的两张风味贴，其中一张过期，另一张未过期，属于风味贴错误（需要张贴两张风味贴的解冻品除外） 例如：【珍珠】张贴了两张风味贴，其中一张风味贴过期，另一张珍珠风味贴未过期，属于效期错误，若张贴了同一品名的两张风味贴，两张都未过期，提醒，撕掉错误风味贴 PS: 以上均为风味贴在了同一位置，如两张风味贴均贴在了份数盘上或效期卡上；若一张贴在份数盘上，一张贴在效期卡上，以份数盘的风味贴为准(份数盘上的过期，效期卡上的未过期，扣效期错误，反之则提醒) 物料张贴了不同品名的两张风味贴，其中一张过期，另一张未过期，按照物料对应的风味贴扣分，并提醒撕掉错误风味贴,,CS-0092,,迁移自规则表,其中一张过期|另一张未过期|其中一张风味贴过期|另一张珍珠风味贴未过期|属于效期错误|两张都未过期,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0067；原条款编号=42；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0022,手写风味贴记录有误,手写风味贴，物料品名错误/缺失、物料制作时间及到期时间错误/缺失，属于 风味贴错误 同时确认稽核前是否有报修 1. 若无，所有手写风味贴按照 不同批次 及 不同产品 名叠加扣 2. 若有，需查看稽核拍照时是否存在已过期的手写风味贴， 有过期风味贴正常记录扣分 ，若没有过期风味贴，鉴于效期机临时损坏且有报修意识和记录风味贴的意识，仅本次可提醒，同时须在报告中写明规范的手写风味贴的内容,,CS-0094,,迁移自规则表,手写风味贴记录有误|手写风味贴|物料品名错误/缺失|属于|风味贴错误|同时确认稽核前是否有报修,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0068；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0023,开封需张贴开封效期的解冻品，张贴了解冻效期,开封需张贴开封效期的解冻品，张贴了解冻效期，扣效期错误,,CS-0095,,迁移自规则表,张贴了解冻效期|扣效期错误,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0069；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0024,效期机因打印纸偏离导致产品名称未显示在效期贴上,效期机因打印纸偏离导致产品名称未显示在效期贴上，若能通过效期打印记录核实，不扣分,,CS-0097,,迁移自规则表,若能通过效期打印记录核实|不扣分,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0070；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0025,门店将物料存放在最小单位量器具内或提前将物料称量好，未张贴效期且未按标准储存,"""门店将物料存放在最小单位量器具内或提前将物料称量好，未张贴效期且未按标准储存，提醒不扣。 例1：门店接取一小量杯的茶汤，未张贴效期，不扣 例2：门店提前将煮糖水的白糖称量好，未张贴效期，提醒门店尽快使用，不扣分""",,CS-0098,,迁移自规则表,未张贴效期且未按标准储存|提醒不扣|未张贴效期|不扣|提醒门店尽快使用|不扣分,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0071；原条款编号=39；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0026,直接平冷解冻的解冻品，效期未张贴至瓶身,直接平冷解冻的解冻品，且还在解冻时间内，已打印效期放在解冻品旁，未张贴至瓶身，不扣分 （但解冻品效期需遵循一一对应原则，若冷藏柜内存在直接平冷解冻的同一物料，不同批次，效期未张贴在对应物料上，扣一次效期错误） （详情可见图例，两个批次的草莓果泥，效期没有张贴在袋身上，扣一次效期错误）,,CS-0099,,迁移自规则表,直接平冷解冻的解冻品|效期未张贴至瓶身|且还在解冻时间内|已打印效期放在解冻品旁|未张贴至瓶身|不扣分,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0072；原条款编号=39；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0027,门店将效期卡用于其他区域,门店将效期卡用于其他区域，且效期卡的效期能和物料一一对应，提醒不扣分（对外一律宣导效期卡仅可使用于平冷凹槽）,,CS-0100,,迁移自规则表,门店将效期卡用于其他区域,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0073；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0028,效期错误共识变更,物料实际状态与张贴的风味贴【产品名称】不符，无论风味贴是否过期，均按【效期错误】进行记录 ，除以下两种风味贴未过期的特殊情况可不扣分提醒 ①物料张贴下一状态风味贴 情形1. 鲜果及冷冻品 ，判断是否下一状态具体参考门店效期机该物料状态是否挂靠在 鲜果 及 冷冻品 内） 情形2. 新增提醒 【 后厨原料 茶类 张贴后厨产出 茶汤 风味贴 】 （仅针对茶类） 提醒：未去皮西瓜张贴西瓜块风味贴，葡萄汁解冻张贴葡萄汁（倒出未密封）风味贴 ， 茉莉花茶茶叶 张贴 茉莉花茶茶汤 风味贴 扣分：奶盖浆张贴奶盖效期须正常扣【效期错误】，原因：奶盖风味贴为【后厨产出】，与奶盖浆非挂靠在同一级【冷冻品】下 ②物料有两种效期，且张贴的效期比实际储存状态应张贴的效期短（如冷藏的特调糖张贴常温效期） ③物料张贴非当前状态风味贴，但风味贴中物料种类且储存时长相同，仅盛装的容器不同 PS: 有一个特殊情况须注意 当解冻品张贴【解冻效期】敞口存放，若解冻效期未过期，扣效期错误，若解冻效期过期，扣过期（原因：解冻品的解冻效期为第一效期，解冻过期即为该物料过期）椰子水咖啡液等需要开封打开封效期的物料类似（如解冻效期过期未张贴开封效期，扣过期）,,CS-0102,,迁移自规则表,效期错误共识变更|无论风味贴是否过期|均按【效期错误】进行记录|①物料张贴下一状态风味贴|情形1|鲜果及冷冻品,consensus-link|migrated-from-rules|category-外购与非认可物料/器具,启用,迁移自规则表 R-0074；原条款编号=39；分类=外购与非认可物料/器具,2026-04-22 11:57:12
FAQ-0029,小青橘去蒂打清洗效期,小青橘去蒂打清洗效期不扣分（仓库到门店就会出现去蒂的现象），非自然脱落的需打切开效期,,CS-0103,,迁移自规则表,小青橘去蒂打清洗效期|非自然脱落的需打切开效期,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0075；原条款编号=39；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0030,私人物品区出现过期物料,私人物品区出现过期物料，不扣分,,CS-0104,,迁移自规则表,私人物品区出现过期物料|不扣分,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0076；原条款编号=42；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0031,洗手液开封效期缺失/过期,洗手消毒液仅原包装过期扣分,,CS-0105,,迁移自规则表,洗手液开封效期缺失/过期,consensus-link|migrated-from-rules|category-物料效期问题,启用,迁移自规则表 R-0077；原条款编号=43；分类=物料效期问题,2026-04-22 11:57:12
FAQ-0032,关于解冻品解冻相关稽核共识,1.门店 水浴池漏水 导致未没过解冻品或布丁等，提醒不扣 2.解冻品 水浴未没过液面，需证明解冻品不是漂浮状态 ，若漂浮状态则提醒不扣 3.解冻品 水浴超时且完全化冻 ，扣分（ 若门店发现后废弃，不扣分 ）；解冻品 水浴超时但未完全化冻 ，不扣分,,CS-0108,,迁移自规则表,1.门店|水浴池漏水|导致未没过解冻品或布丁等|提醒不扣|2.解冻品|水浴未没过液面,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0078；原条款编号=42；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0033,门头灯未开启,街边店古茗招牌灯仅16：00-打烊未开启扣分，商场商超店：开业时间-闭店离开时间未开启,,CS-0109,,迁移自规则表,门头灯未开启,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0079；原条款编号=27；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0034,调饮设备维护相关共识,1.关于摇摇机扣分尺度： 摇摇机误差+1秒， 老款超出误差，扣分 ； 新款设置正确，实际超出误差，提醒 ； 2.关于封口机扣分尺度： 封口机 【 加热盘】积垢不扣分 （图1）； 3.关于储冰槽扣分尺度： 冰槽滑轨 仅擦拭出金属粉末， 提醒清洁 ； 4. 关于 灭蝇灯 扣分尺度： a.灭蝇灯使用飞利浦灯管（新款灯管），但使用的是 3个月 的维护时间贴， 提醒不扣分 ； b.稽核巡检发现灭蝇纸在效期内，但虫尸超二分之一，若 有7天内的打卡记录，不扣分 ; 5.关于设备综合扣分尺度： a. 设备破损但可正常运转，提醒； b. 设备效期过期，过期日和巡检日是同一天，不扣分； c.报公司设备维保的门店，设备保养后若在保养期限内， 涉及到的所有问题（如发霉、维养时间贴、积垢等）仅记录不扣分 ，具体【设备】名单参考图表(图2），具体参保门店参考巡店计划内该门店是否有【月度维养】标签或月度维保名单；,,CS-0114,,迁移自规则表,调饮设备维护相关共识|1.关于摇摇机扣分尺度|摇摇机误差+1秒|老款超出误差|扣分|新款设置正确,consensus-link|migrated-from-rules|category-虫害与消杀问题,启用,迁移自规则表 R-0080；原条款编号=55；分类=虫害与消杀问题,2026-04-22 11:57:12
FAQ-0035,化学品相关稽核共识,1. 此款咖啡机药片 （图1），由于仓库发货时已经临期导致门店无法使用完，巡店时若 发现过期 ，提醒不扣分，让门店报损+报货新的即可； 2.查看/进入任何独立空间 ，例如门店抽屉、用门帘遮挡的空间、阁楼、有门的房间等 均需要 询问门店是否可以查看 ，得到明确的答复后方可查看，门店反馈不可查看为私人区域时，不用查看记录在报告提醒项即可；如果 空间内无任何营运相关物料 （设备、器具、原物料等），只有废弃的设备和化学品、木质品等，有门/门帘等作 阻隔且日常是关闭状态 ，提醒不扣分； 3.打包袋装化学品： 化学品有包装或独立包装 ，不扣分； 4. 指定除胶剂出现在营运区 （私人物品区除外），扣化学品定位； 5、消毒、去渍溶液用于非器具消毒的，不扣分,,CS-0126,,迁移自规则表,化学品相关稽核共识|此款咖啡机药片|图1|巡店时若|发现过期|提醒不扣分,consensus-link|migrated-from-rules|category-化学品问题,启用,迁移自规则表 R-0081；原条款编号=56；分类=化学品问题,2026-04-22 11:57:12
FAQ-0036,门店下架重点饮品和新品,重点饮品和新品下架稽核手法，判断是否门店主观不售卖（重点品不能下架、新品两周不能下架） ①有下架饮品所涉及的物料，出于主观原因（销量低报损高等原因）故意不售卖，正常扣分 ②对应仓有货，故意不售卖而不报货，正常扣分 由于特殊情况下架不扣分，如① 第一天断货下架，第二天来货了忘记上架 ② 断货下架后，当天来货未及时上架 ③ 人力原因，无时间制备新料，临时下架 ④门店打烊前2小时下架部分产品（打烊时间以小程序显示为准）,,CS-0127,,迁移自规则表,门店下架重点饮品和新品|新品两周不能下架|①有下架饮品所涉及的物料|正常扣分|②对应仓有货|故意不售卖而不报货,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0082；原条款编号=19；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0037,拼好饭未配保温袋,拼好饭未配保温袋：查看门店订单，如果有保温袋费用，门店不给要扣分，如果没有就不扣,,CS-0128,,迁移自规则表,拼好饭未配保温袋|如果有保温袋费用|门店不给要扣分|如果没有就不扣,consensus-link|migrated-from-rules|category-储存与离地问题,启用,迁移自规则表 R-0083；原条款编号=21；分类=储存与离地问题,2026-04-22 11:57:12
FAQ-0038,现场巡检时发现发现门店调饮操作错误,1. 首先询问认知是否有问题 2. 如果是认知正确，操作错误，有监控或者其他证据证明是操作错误的，扣分；如果证明不了，不扣分 3. 如果认知错误且操作错误，扣分 【ps：①操作错误指可以通过监控/巡店记录仪回溯问题点，若角度受限无法证明不扣分②若门店反馈为顾客特殊要求的，可提供证明不扣也不加分（例如订单备注，顾客电话等）】,,CS-0130,,迁移自规则表,首先询问认知是否有问题|如果是认知正确|操作错误|扣分|如果证明不了|不扣分,consensus-link|migrated-from-rules|category-证照/记录/人员规范,启用,迁移自规则表 R-0084；原条款编号=59；分类=证照/记录/人员规范,2026-04-22 11:57:12
FAQ-0039,发现门店使用的糖浆压头非标准压头,若门店糖浆压头非标准压头，需现场测试1次，合格提醒更换；测试1次不合格，再测2次，有一次合格提醒更换，3次都不合格，扣分,,CS-0131,,迁移自规则表,若门店糖浆压头非标准压头|需现场测试1次|合格提醒更换|测试1次不合格|再测2次|有一次合格提醒更换,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0085；原条款编号=59；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0040,巡检时发现勺类错误,巡检发现勺类错误，无加分机会,,CS-0132,,迁移自规则表,巡检时发现勺类错误|巡检发现勺类错误|无加分机会,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0086；原条款编号=59；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0041,水果超量/不足量,"一、 水果超过误差提醒不扣分 （例如莓莓鲜橙茶的去蒂草莓要求100g，误差为＋5g，若实际称量为106g，提醒不扣分，但是调饮操作不加分） 二、 水果的量仅少1g提醒不扣分 （例如草莓鲜橙茶的去蒂草莓要求100g,若实际称量为99g，提醒不扣分，同样调饮不加分）",,CS-0133,,迁移自规则表,水果超量/不足量|水果超过误差提醒不扣分|误差为＋5g|若实际称量为106g|提醒不扣分|但是调饮操作不加分,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0087；原条款编号=59；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0042,门店勾勺使用不正确,勺子可以从小变大，但是不能大变小，最终看CC总量即可（百香果20CC*3，可以直接用60CC*1 但是桃汁60CC*1不可以30CC*2）,,CS-0135,,迁移自规则表,门店勾勺使用不正确|勺子可以从小变大|但是不能大变小|可以直接用60CC*1,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0088；原条款编号=59；分类=其他特殊判定,2026-04-22 11:57:12
FAQ-0043,清洁工具维护相关稽核共识,1.垃圾桶扣分尺度 ① 未套垃圾袋，若桶无渗漏现象 不扣 ②公司款合页垃圾桶，仅 未盖盖或完全开盖 ，扣分 ③箱子或桶内 空瓶盖紧，无剪口瓶子 (如剪口使用的厚乳、咖奶等）不扣 ④表面残留垃圾， 营运过程中产生的不扣 ，若扣分需判断门店 垃圾桶打卡 ，若有打卡不扣 ⑤桶内无湿垃圾， 专扔小票纸、标签纸等干垃圾 可无盖，接触后可不洗手 ⑥出现在 吧台正下方内嵌空间 的，出现机会点不扣提醒 2.针对【营运过程中门店将空牛奶瓶等类似物料， 临时放置 在小钢桌/货架等非明显垃圾收纳区域，准备后续统一处理】的情形，提醒不扣 3.清洁工具与食品接触器具存放在一起 a. 清洁食品接触面的工具 与食品接触器具放一起，提醒不扣 例：刷漏盆刷子与滤布均挂在后厨操作台挂钩上（无论两个器具是否接触），提醒不扣 b. 清洁非食品接触面的工具 与食品接触器具放在一起，若两个器具未接触，扣清洁工具定位1分，接触扣交叉污染5分 例：刷台面/地面/除霜等刷子与滤布均挂在后厨操作台挂钩上，若两个器具未接触，扣清洁工具定位1分，接触则扣交叉污染5分 4.地刮等清洁工具定位 /倚靠在 立式冷藏柜 (不含平冷柜，原因：平冷柜含操作台面）、 冷冻柜及制冰机侧面 不扣,,CS-0136,,迁移自规则表,清洁工具维护相关稽核共识|1.垃圾桶扣分尺度|未套垃圾袋|若桶无渗漏现象|不扣|②公司款合页垃圾桶,consensus-link|migrated-from-rules|category-交叉污染问题,启用,迁移自规则表 R-0089；原条款编号=36；分类=交叉污染问题,2026-04-22 11:57:12
FAQ-0044,证件管理相关共识,1.关于 食品经营许可证、营业执照共识 a.实际门店 有证，未公示 在外， 扣1分整改项 b.无食品经营许可证，分总同意记录可改 c.巡检前已出证，未领取，24h内提供，不扣分 d.食品经营许可证到期需要放存疑，分总同意改提醒项记录 2.关于健康证共识：现场发现店员无健康证，但门店反馈已办理 a. 告知门店需巡检后的 24小时内回传; b. 需在报告中写明 ：现场未发现***健康证，但门店反馈已经出证，需门店24小时内回传证明。 c. 如 24小时内未回传即不可修改 （周末及法定节假日顺延）; d.门店申诉时须要求提供 健康证正反面证件的【视频】 或 查询电子健康证的【视频】 ，避免门店P图无法识别真伪; 3.关于店内伙伴未满16周岁共识 店内伙伴＜16岁， 非雇佣关系的 ，不算雇佣童工， 提醒不扣分;,,CS-0141,,迁移自规则表,证件管理相关共识|1.关于|食品经营许可证|营业执照共识|a.实际门店|有证,consensus-link|migrated-from-rules|category-证照/记录/人员规范,启用,迁移自规则表 R-0090；原条款编号=308；分类=证照/记录/人员规范,2026-04-22 11:57:12
FAQ-0045,新款pc份数盘盖,新款pc份数盘盖门店在低峰期这个状态，盖子也是连接处也是掉了一截，提醒不扣分,,CS-0143,,迁移自规则表,新款pc份数盘盖|提醒不扣分,consensus-link|migrated-from-rules|category-其他特殊判定,启用,迁移自规则表 R-0091；原条款编号=None；分类=其他特殊判定,2026-04-22 11:57:12
